Sinaloa Wren,SIWR
Slate-throated Redstart,STWH
Slaty-backed Gull,SBGU
Slender-billed Curlew,SBCU
Small-billed Elaenia,SBEL
Smew,SMEW
Smith's Longspur,SMLO
Smooth-billed Ani,SBAN
Snail Kite,SNKI
Snow Bunting,SNBU
Snow Goose,SNGO
Snowy Egret,SNEG
Snowy Owl,SNOW
Snowy Plover,SNPL
Social Flycatcher,SOFL
Solitary Sandpiper,SOSA
Solitary Snipe,SOSN
Song Sparrow,SOSP
Song Thrush,SOTH
Sooty Grouse,SOGR
Sooty Shearwater,SOSH
Sooty Tern,SOTE
Sora,SORA
South Polar Skua,SPSK
Southern Martin,SOMA
Spectacled Eider,SPEI
Spoon-billed Sandpiper,SBSA
Spot-breasted Oriole,SBOR
Spotted Dove,ESDO
Spotted Flycatcher,SPFL
Spotted Owl,SPOW
Spotted Rail,SPRA
Spotted Redshank,SPRE
Spotted Sandpiper,SPSA
Spotted Towhee,SPTO
Sprague's Pipit,SPPI
Spruce Grouse,SPGR
Stejneger's Petrel,STPE
Stejneger's Scoter,SISC
Steller's Eider,STEI
Steller's Jay,STJA
Steller's Sea-Eagle,SSEA
Stilt Sandpiper,STSA
Streak-backed Oriole,SBOR
Streaked Shearwater,STSH
